排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
388,综合包装,BK1536,1416.69,-5.05,-0.36,18360572000,2.12,2,4,新通联,0.95
389,大宗用纸,BK1544,2371.54,-8.5,-0.36,109373805000,1.3,6,4,荣晟环保,3.56
390,锂电专用设备,BK1304,26077.77,-93.5,-0.36,205909072000,2.26,4,14,赢合科技,7.52
391,信托,BK1363,2152.61,-7.72,-0.36,79857563000,0.51,1,1,陕国投Ａ,0.59
392,工程机械整机,BK1393,4685.63,-17.44,-0.37,562616272000,1.53,7,12,铁拓机械,3.72
393,综合环境治理,BK1391,1806.38,-6.79,-0.37,69805483000,2.86,5,8,绿茵生态,2.19
394,品牌消费电子,BK1337,2681.92,-10.48,-0.39,281799808000,1.31,6,5,漫步者,3.23
395,无机盐,BK1422,2954.59,-11.85,-0.4,102163636000,2.3,5,5,雪天盐业,1.86
396,电子化学品Ⅲ,BK1332,2390.16,-9.6,-0.4,496926224000,3.06,14,19,安集科技,4.12
397,电子化学品Ⅱ,BK1039,2390.16,-9.6,-0.4,496926224000,3.06,14,19,安集科技,4.12
398,磁性材料,BK1618,5308.01,-22.39,-0.42,169848907000,1.52,8,6,龙磁科技,2.38
399,非银金融,BK1203,2508.29,-10.93,-0.43,6919858432000,0.59,25,53,南华期货,3.54
400,激光设备,BK1409,13947.34,-62.37,-0.45,255431028000,2.96,4,6,大族激光,1.8
401,钨,BK1625,8338.24,-37.55,-0.45,251477359000,4.35,2,2,翔鹭钨业,1.45
402,纯碱,BK1417,1243.41,-5.64,-0.45,61193698000,2.19,1,4,双环科技,0.81
403,其他化学纤维,BK1415,3285.66,-15.41,-0.47,114952875000,2.2,4,4,皖维高新,0.87
404,卫浴制品,BK1541,743.2,-3.54,-0.47,40200212000,1.02,4,2,惠达卫浴,1.35
405,有机硅,BK1431,3216.36,-15.94,-0.49,107510215000,1.03,3,7,集泰股份,0.45
406,横向通用软件,BK1448,6972.49,-34.89,-0.5,584427568000,1.11,9,26,永信至诚,2.36
407,汽车服务,BK1016,977.62,-5.06,-0.51,62527312000,0.88,5,5,北巴传媒,1.72
408,定制家居,BK1539,8341.77,-43.83,-0.52,100171034000,1.32,8,8,皮阿诺,3.17
409,冶钢原料,BK1228,4166.75,-21.92,-0.52,214478539000,1.1,2,7,广东明珠,1.47
410,油气开采Ⅲ,BK1574,5051.25,-26.72,-0.53,2051680336000,3.79,3,2,海南矿业,2.9
411,油气开采Ⅱ,BK1276,5051.25,-26.72,-0.53,2051680336000,3.79,3,2,海南矿业,2.9
412,多元金融,BK0738,656.8,-3.72,-0.56,593164256000,0.99,7,18,南华期货,3.54
413,机器人,BK1408,8292.83,-47.63,-0.57,181563774000,0.9,5,14,绿的谐波,1.64
414,酒店,BK1560,2660.47,-15.33,-0.57,69089580000,1.42,4,2,华天酒店,1.01
415,数字芯片设计,BK1331,21557.2,-125.0,-0.58,3301353936000,1.72,12,38,沐曦股份-U,4.06
416,粘胶,BK1416,2135.01,-12.47,-0.58,27254163000,3.78,1,2,新乡化纤,0.45
417,稀土,BK1626,9304.77,-56.17,-0.6,286689312000,1.59,0,4,北方稀土,-0.25
418,其他电子Ⅲ,BK1336,13528.58,-82.62,-0.61,392678256000,3.69,12,19,洁美科技,4.52
419,其他电子Ⅱ,BK1223,13528.58,-82.62,-0.61,392678256000,3.69,12,19,洁美科技,4.52
420,电池,BK1033,1523.76,-9.38,-0.61,3843542464000,3.94,27,77,科达利,10.0
